Additional Features,Antivirus,Backlit Keyboard,Battery Backup,Battery Cell,Bluetooth,Brand,Brightness,Cache,Certification,Chipset,Clock Speed,Color,Color Gamut,Covered in Warranty,Dedicated Graphic Memory Capacity,Dedicated Graphic Memory Type,Dimensions,Disk Drive,Dock Port,Domestic Warranty,EMMC Storage Capacity,Ethernet,Expandable Memory,Expandable SSD Capacity,Face Recognition,Finger Print Sensor,Firewire Port,Graphic Processor,HDD Capacity,HDMI Port,Hardware Interface,Inbuilt 4G LTE,Included Software,Internal Mic,International Warranty,Keyboard,Laptop Bag,Lock Port,MS Office Provided,Memory Slots,Mic In,Model Name,Model Number,Multi Card Slot,NFC Support,Not Covered in Warranty,Number of Cores,OS Architecture,Operating System,Optane Memory,Other Accessories,Part Number,Pointer Device,Power Supply,Price,Processor Brand,Processor Generation,Processor Name,Processor Variant,RAM,RAM Frequency,RAM Type,RJ11,RJ45,RPM,Read/Write Speed,Recovery Options,Refresh Rate,S-video,SSD,SSD Capacity,Sales Package,Screen Resolution,Screen Size,Screen Type,Security Chip,Series,Sound Chip,Sound Properties,Speakers,Storage Type,Stylus Included,Suitable For,Supported Operating System,System Architecture,TGP,Touchscreen,Type,USB Port,VGA Port,Warranty Service Type,Warranty Summary,Web Camera,Weight,Wireless LAN,Wireless WAN
,,Yes,,4 Cell,v5.3,ASUS ROG Strix G16 with 90WHr Battery Intel HX-Series Intel Core i9 13th Gen 13980HX - (16 GB/1 TB SSD...,,,,,Max Turbo Frequency up to 5.60 GHz,Gray,,Manufacturing Damage,8 GB,GDDR6,354 x 264 x 30.4 mm,Not Available,,,,,,,,,,NVIDIA GeForce RTX 4060,,,,,,Yes,,Backlit Chiclet Keyboard 4-Zone RGB,,,Yes,,,G614JV-N4141WS,G614JV-N4141WS,,,Physical Damage,,,Windows 11 Home,,,90NR0C61-M007Y0,,,"₹1,59,990",Intel,13th Gen,Core i9,13980HX,16 GB,,DDR5,,,,,,240 HZ,,Yes,1 TB,"Laptop, battery, power adapter, user guide",2560 x 1600 Pixel,40.64 cm (16 Inch),"QHD+, WQXGA, 240Hz, 3ms, 170, IPS-level, 500nits, 1200:1, 100%, Anti-glare display",,ROG Strix G16 with 90WHr Battery Intel HX-Series,,,Yes,SSD,,Gaming,,,140 TGP,No,Gaming Laptop,"1 x Thunderbolt 4 support DisplayPort / power delivery, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery, 2 x USB 3.2 Gen 2 Type-A",,Onsite,1 Year Onsite Warranty,720P HD camera,2.50 Kg,Wi-Fi 6E(802.11ax) (Triple band) 2*2,
,,Yes,,4 Cell,v5.2,Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,,,,,Max Turbo Frequency up to 4.7 GHz,Pure Silver,,Manufacturing Defects,,,312.9 x 217.9 x 14.9 mm,Not Available,,,,BRX9TA9DJ3RT,,,,Yes,,Intel Integrated Iris Xe,,,,,,,,"83-/84-/87-key full-size FineTip backlit keyboard with international language 
support",,,Yes,,,SFG14-71-58UB,SFG14-71-58UB,,,Physical Damage,,,Windows 11 Home,,,NX.KF1SI.002,,100 W PD AC adaptor,"₹79,150",Intel,13th Gen,Core i5,13500H,16 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",2880 x 1800 Pixel,35.56 cm (14 Inch),WQXGA,,Swift Go 14 EVO OLED,,,,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,,,No,Thin and Light Laptop,"1 x USB 3.2 Port, 1 x USB 3.2 Gen 1 Port with power-off charging, 1 x USB Type-C port with DC-in",,Onsite,1 Year Onsite Warranty,T-Type USB QHD camera with 2560 x 1440 resolution and 1440p QHD video at 30 fps with Temporal Noise Reduction,1.25 Kg,Intel Wireless Wi-Fi 6E AX211,
,,,Upto 6 Hrs.,,5.2,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A325-51 Thin and Light ...,,10 MB,,,"1.2 GHz, Max Turbo Boost at 4.4 GHz",Steel Gray,,Manufacturing Defects,,,359 x 254 x 21.7 mm,Not Available,,1 Year,,IEEE 802.11 a/b/g/n+ac+ax,Upto 64 GB,1 TB,,,,Intel Integrated UHD,,,M.2 NVMe™ PCIe® 4.0 SSD,,,Yes,,84-key Acer keyboard layout with US language,No,,No,2* SO-DIMM,Yes,A325-51,A325-51,,,Any Type Of Damages,6,64 bit,Windows 11 Home,,,UN.345SI.007,Multi-gesture Touch-pad,,"₹29,990",Intel,12th Gen,Core i3,1215U,8 GB,3200 MHz,DDR4,,Yes,,,,,,Yes,512 GB,"Laptop, Power Adapter, Manual",1920 x 1080 pixel,39.62 cm (15.6 inch),"39 cm (15"") IPS Display with Full HD 1920 x 1080, LED-backlit TFT LCD, 16:9 aspect ratio, 45% NTSC color gamut, Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly",,Aspire 3,Yes,,,SSD,,"Everyday Use, Learning, Processing & Multitasking",,64 Bit,,No,Thin and Light Laptop,"2 x USB 3.2 Port, 1 x USB 2.0 Port, 1 x USB Type-C Port, 1 x Type-c Port for PD Adapter",,Onsite,One-year Warranty,2M With Privacy Camera Shutter,1.78 kg,Wi-Fi 6E(802.11ax) (Dual band),Wi-Fi 6E(802.11ax) (Dual band)
,,,,,v5.2,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,,,,,Max Frequency up to 4.50 GHz,Steel Gray,,Manufacturing Defects,,,321.7 x 206.6 x 19.4 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,,,,,Yes,,84-key Acer keyboard layout with US language: Additional feature.,,,No,,,A324-53,A324-53,,,Physical Damage,,,Windows 11 Home,,,UN.34RSI.002,,,"₹31,990",Intel,13th Gen,Core i3,1305U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),Full HD,,Aspire 3,,,Two built-in stereo speakers,SSD,,Everyday Use,,,,No,Thin and Light Laptop,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",,Carry-in,1 Year Carry-in Warranty,Video conferencing: 2M With Privacy Camera Shutter,1.45 Kg,WIFI 6,
52.6 Watt Hour Lithium polymer Battery,,Yes,Upto 18 Hours,,v5.0,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,,,,,,Space Grey,,Manufacturing Defects,,,304.1 x 215.0 x 11.3 mm,Not Available,,1 Year,,,,,,,,NA,,,,,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",Three-mic array with directional beamforming,,Backlit Magic Keyboard,,,No,,Yes,MacBook Air,MLXW3HN/A,,,Physical Damage,8,,Mac OS Monterey,,,MLXW3HN/A,Force Touch Trackpad,30 W USB-C Power Adapter,"₹81,949",Apple,,M2,Apple M2 Chip,8 GB,,Unified Memory,,,,,,,,Yes,256 GB,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",,MacBook AIR,,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",,Onsite,1 Year Limited Warra­nty,1080p FaceTime HD camera,1.24 Kg,802.11ax Wi-Fi 6 wireless networking,
52.6 Watt Hour Lithium polymer Battery,,Yes,Upto 18 Hours,,v5.0,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,,,,,,Space Grey,,Manufacturing Defects,,,304.1 x 215.0 x 11.3 mm,Not Available,,1 Year,,,,,,,,NA,,,,,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",Three-mic array with directional beamforming,,Backlit Magic Keyboard,,,No,,Yes,MacBook Air,MLXW3HN/A,,,Physical Damage,8,,Mac OS Monterey,,,MLXW3HN/A,Force Touch Trackpad,30 W USB-C Power Adapter,"₹81,949",Apple,,M2,Apple M2 Chip,8 GB,,Unified Memory,,,,,,,,Yes,256 GB,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",,MacBook AIR,,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",,Onsite,1 Year Limited Warra­nty,1080p FaceTime HD camera,1.24 Kg,802.11ax Wi-Fi 6 wireless networking,
,,Yes,,3 cell,v5.3,MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,,,,,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,Urban Silver,,Part Failure,,,319.9 x 223 x 19.35 mm,Not Available,,1 Year,,,,,,,,Intel Integrated Iris Xe,,1 x HDMI,,,,Yes,,Single backlight Keyboard(White),,,No,,,Modern 14 C12M-439IN,Modern 14 C12M-439IN / Modern 14 C12MO-1020IN,,,"Physical Damage, Burn, Liquid Spill",,,Windows 11 Home,,,9S7-14J111-439 / 9S7-14J111-1020,,65W adapter,"₹40,990",Intel,12th Gen,Core i5,1235U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power adapter",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD, 60Hz 45%NTSC IPS-Level",,Modern 14,,,Built-in Speakers,SSD,,"Processing & Multitasking, Entertainment",,,,No,Thin and Light Laptop,"1 x Type-C USB3.2 Gen2 with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",,Onsite,1 Year Onsite Warranty,HD type (30fps@728p),1.4 Kg,Intel Wi-Fi 6E AX211,
42 WHrs Li-ion Battery,,No,,3 Cell,v5.0,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,,10 MB,,,Upto 4.40GHz,Icelight Silver,,Manufacturing Defects,,,359.7 x 232.5 x 19.9 ~ 19.9,Not Available,,1 Year,,,16,1 TB,,,,Intel Integrated Integrated,,1 x HDMI 1.4,,,,Built-in Microphone,,Chiclet Keyboard,,,Yes,,Yes,X1502ZA-EJ953WS,X1502ZA-EJ953WS,,,Physical Damage,6,,Windows 11 Home,,,90NB0VX2-M01DB0,,45W AC Adapter,"₹32,990",Intel,12th Gen,Core i3,1215U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display",,Vivobook 15,,,Built-in Speakers,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Windows 11 Home,,,No,Thin and Light Laptop,"1 x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A",,Contact : Ph : 1800-2090365 / Mail : rc_india@asus.com,1 Year Onsite Warranty,720p HD camera With privacy shutter,1.70 kg,Wi-Fi 6(802.11ax) (Dual band) 2 x 2,
42 WHrs Li-ion Battery,,No,,3 Cell,v4.1,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) E510MA-EJ021WS T...,,4 MB,,,1.10GHz Upto 2.80GHz,Star Black,,Manufacturing Defects,,,360.2 x 236.4 x 18.1 ~ 18.1,Not Available,,1 Year,,,,,,,,Intel Integrated Integrated,,1 x HDMI 1.4,,,,Built-in Microphone,,Chiclet Keyboard,,,Yes,,Yes,E510MA-EJ021WS,E510MA-EJ021WS,,,Physical Damage,2,,Windows 11 Home,,,90NB0Q65-M010E0 | 90NB0Q65-M013U0,,33W AC Adapter,"₹26,990",Intel,,Celeron Dual Core,N4020,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 200nits, 45% NTSC color gamut, Anti-glare display",,Vivobook Go 15,,,Built-in Speakers,SSD,,Processing & Multitasking,Windows 11 Home,,,No,Thin and Light Laptop,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",,Onsite,1 Year Onsite Warranty,VGA camera,1.57 kg,Wi-Fi 5(802.11ac) (Dual band) 1 x 1,
,,,,,v5.2,SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,,,,,Up to 4.5 GHz,Gray,,Manufacturer Defect Only,,,356.6 x 229.15 x 15.4 mm,Not Available,,,,,,,,Yes,,Intel Integrated Iris Xe,,,,,,Internal Digital MIC,,QWERTY,,,Yes,,,NP750XGJ-LG4IN,NP750XGJ-LG4IN,,,Physical Damage,,,Windows 11 Home,,,NP750XGJ-LG4IN,,,"₹37,990",Intel,13th Gen,Core i3,1315U,8 GB,,LPDDR4X,,,,,,,,Yes,512 GB,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD LCD Display,,Galaxy Book4 Metal,,,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",,Onsite,1 Year Onsite Warranty,"Yes, 1 Megapixel",1.55 Kg,Wi-Fi 6,
,,,Upto 4 hours,2 Cell,v5.0,Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light ...,,12MB,,,1.3Ghz UPTO 4.2 GHz,Iron Grey,,Manufacturing Defects,,,324.2 x 215.2 x 19.9 mm,Not Available,,1 Year,,,,,,No,,Intel Integrated Iris Xe,,1 x HDMI 1.4,,,N/A,,,English Keyboard,,,No,,,V14,V14 ITL G2,,,Physical Damage,,64 bit,Windows 11 Home,,,82KA00LLIH,,65W round tip (3-pin) AC adapter,"₹35,490",Intel,12th Gen,Core i5,1235U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 inch),Full HD IPS LED Anti-glare Display,,V14,,,Yes,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Windows 11 Home,,,No,Thin and Light Laptop,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",,1 Year Carry In To SERVICE CENTER WARRANTY,1 Year Carry In To SERVICE CENTER WARRANTY,1M HD Camera,1.6 kg,802.11ac 2x2 Wi-Fi,
52.6 Watt Hour Lithium polymer Battery,,Yes,Upto 18 Hours,,v5.0,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,,,,,,Starlight,,Manufacturing Defects,,,304.1 x 215.0 x 11.3 mm,Not Available,,1 Year,,,,,,,,NA,,,,,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",Three-mic Array with Directional Beamforming,,Backlit Magic Keyboard,,,No,,Yes,MacBook Air,MLY13HN/A,,,Physical Damage,8,,Mac OS Monterey,,,MLY13HN/A,Force Touch Trackpad,30 W USB-C Power Adapter,"₹81,949",Apple,,M2,Apple M2 Chip,8 GB,,Unified Memory,,,,,,,,Yes,256 GB,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",,MacBook AIR,,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",,Onsite,1 Year Limited Warranty,1080p FaceTime HD camera,1.24 kg,802.11ax Wi-Fi 6 wireless networking,
,,Yes,,4 Cell,v5.1,Lenovo Workstation P14s Intel Core i7 12th Gen 1260P - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics)...,,,,,2.1 GHz with Turbo Boost Upto 4.7 GHz,Black,,Manufacturing Defects,4 GB,GDDR6,317.7 x 226.9 x 17.95 mm,Not Available,,,,,,,,Yes,,NVIDIA Quadro T550,,,,,,Yes,,,,,No,,,TP P14s Gen3,TP P14s Gen3,,,Physical Damage,,,Windows 11 Pro,,,21AKS02800,,,"₹1,33,990",Intel,12th Gen,Core i7,1260P,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, User manual, Adapter",1920 x 1080 Pixel,35.56 cm (14 Inch),WUXGA IPS Anti-glare Display,,Workstation P14s,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x USB 3.2 Gen 1 (one Always On), 2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 2.0)",,Onsite,3 Year Premier Support,"HD 720p, with privacy shutter, fixed focus",1.38 Kg,Wi-Fi 6E 802.11ax 2x2 Wi-Fi,
,,Yes,,2 cell,v5.2,Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,,,,,Max turbo frequency at 4.4 Ghz,Steel Gray,,Manufacturing Defects,,,321.7 x 206.6 x 19.4 mm,Not Available,,,,,,,No,No,,Intel Integrated Intel Graphics,,1x HDMI Port,,,,Yes,,84-key Acer backlit keyboard layout with US language,,,No,,,A324-51,A324-51,,,Physical Damage,,64 bit,Windows 11 Home,,,UN.343SI.003,Touchpad,65 W,"₹44,990",Intel,12th Gen,Core i5,1235U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",,Aspire 3 Backlit,,,Two built-in stereo speakers,SSD,,Everyday Use,,,,No,Thin and Light Laptop,,,Onsite,1 Year Domestic Warranty,2M With Privacy Camera Shutter,1.45 Kg,WIFI 6,
,,,,,v5.2,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,,,,,Max Turbo Frequency upto 4.40 GHz,Arctic Grey,,Manufacturing Defects,,,324.3 x 213.8 x 17.9 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,1 x HDMI 1.4,,,,Yes,,"Backlit, English",,,Yes,,,14IAH8,14IAH8,,,Physical Damage,,,Windows 11 Home,,,83EQ0063IN,,65 W,"₹48,700",Intel,12th Gen,Core i5,12450H,8 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD, TN 250nits Anti-glare",,IdeaPad Slim 3,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",,Carry-in,1 Yr. Onsite,Full HD 1080p with Privacy Shutter,1.37 Kg,"Wi-Fi 6, 11ax 2x2",
,,Yes,,2 cell,v5.2,Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,,,,,Max turbo frequency at 4.4 Ghz,Steel Gray,,Manufacturing Defects,,,321.7 x 206.6 x 19.4 mm,Not Available,,,,,,,No,No,,Intel Integrated Intel Graphics,,1x HDMI Port,,,,Yes,,84-key Acer backlit keyboard layout with US language,,,No,,,A324-51,A324-51,,,Physical Damage,,64 bit,Windows 11 Home,,,UN.343SI.003,Touchpad,65 W,"₹44,990",Intel,12th Gen,Core i5,1235U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",,Aspire 3 Backlit,,,Two built-in stereo speakers,SSD,,Everyday Use,,,,No,Thin and Light Laptop,,,Onsite,1 Year Domestic Warranty,2M With Privacy Camera Shutter,1.45 Kg,WIFI 6,
,,Yes,,,v5.2,HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig...,,,,,Max Turbo Frequency up to 4.6 GHz,Natural Silver,,Manufacturing Defects,,,360 x 234 x 17.9 mm,Not Available,,,,,,,No,Yes,,Intel Integrated Iris Xe,,1 x HDMI2.1,,,,Yes,,"Full-size, backlit, Natural Silver keyboard with numeric keypad",,,Yes,,,15-eg3079TU,15-eg3079TU,,,Physical Damage,,,Windows 11 Home,,,86T11PA#ACJ,,,"₹68,990",Intel,13th Gen,Core i5,1340P,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"Full HD, IPS, micro-edge, Anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",,Pavilion,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,,,Onsite,1 Year Onsite Warranty,HP Wide Vision 720p HD camera,1.75 Kg,Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 wireless card,
,,,,,v5.2,Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light...,,,,,Up to 4.3 GHz,Cloud Grey,,Manufacturing Defects,,,360.2 x 236 x 17.9 mm,Not Available,,,,,,,,,,AMD Radeon AMD,,,,,,Yes,,"Non-backlit, English",,,Yes,,,15ALC7,15ALC7,,,Physical Damage,,,Windows 11 Home,,,82R4010DIN,,,"₹38,990",AMD,,Ryzen 5 Hexa Core,5625U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD IPS 250nits Anti-glare,,MSO'2024,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",,Onsite,1 Year Onsite Warranty,HD 720p with Privacy Shutter,1.61 Kg,"Wi-Fi 6, 802.11ax 2x2",
,,,,,v5.3,HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,,,,,Max Frequency up to 4.6 GHz,Shadow Black,,Manufacturing Defects,6 GB,GDDR6,369.0 x 259.4 x 23.9 mm,Not Available,,,,,,,,No,,NVIDIA GeForce RTX 4050,,1 x HDMI 2.1,,,,Yes,,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric and 26-Key Rollover Anti-Ghosting Key technology",,,Yes,,,16-wd0880TX,16-wd0880TX,,,Physical Damage,,,Windows 11 Home,,,88Y65PA#ACJ,,,"₹88,990",Intel,13th Gen,Core i5,13420H,16 GB,,DDR5,,,,,,,,Yes,512 GB,"Laptop, User manual, Adapter",2560 x 1440 Pixel,40.89 cm (16.1 Inch),"Full HD, 144Hz refresh rate, IPS, micro-edge, anti-glare, Brightness: 250 nits, Color Gamut: 45% NTSC",,OMEN,,,Yes,SSD,,Gaming,,,,No,Gaming Laptop,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate",,Onsite,1 Year Onsite Warranty,HP True Vision 1080p FHD IR camera,2.32 Kg,Intel Wi-Fi 6E AX211 (2x2),
"Cortana Voice Recognition Support, 42WHrs, 3S1P",McAfee LiveSafe 1 Year,Yes,,3 Cell,v5.3,ASUS Vivobook Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ325WS Thin an...,,10 MB,,,"Base Frequency 1.2 GHz, Max Turbo Boost at 4.4 GHz",Quiet Blue,,Manufacturing Damage,,,359.7 x 232.5 x 17.9 mm,Not Available,,1 Year,,,Upto 24 GB,,,No,,Intel Integrated UHD,,1 x HDMI 1.4,M.2 NVMe PCIe 3.0,,Microsoft Office Home & Student 2021,Built-in Array Microphone,,Backlit Chiclet Keyboard,No,,Yes,2,Yes,15,X1504ZA-NJ325WS,,,Physical Damage,6,,Windows 11 Home,,,90NB1021-M00UY0,Multigesture Touchpad,45W AC Adapter,"₹32,990",Intel,12th Gen,Core i3,1215U,8 GB,3200 MHz,DDR4,,,,,,60 Hz,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixels,39.62 cm (15.6 Inch),"Full HD, 16:9 Aspect Ratio, LED Backlit, 60Hz Refresh Rate, Brightness: 250nits, 45% NTSC Color Gamut, Anti-glare Display, TUV Rheinland Certified, Screen-to-Body Ratio: 84%","BIOS Booting User Password Protection, BIOS Setup User Password, Trusted Platform Module (Firmware TPM)",Vivobook,Sonic Master,SonicMaster,Built-in Speaker,SSD,,Processing & Multitasking,Windows 11,64 Bit,,No,Thin and Light Laptop,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,Onsite,1 Year Onsite Warranty,720p HD Camera With Privacy Shutter,1.70 kg,Wi-Fi 6E (802.11ax) (Dual Band) 1 x 1,Wi-Fi 6E(802.11ax) (Dual band) 2*2
